yearID,Valuation,TeamID,CurTeamID,
2019,1800,HOU,HOU,
2020,1850,HOU,HOU,
2021,1870,HOU,HOU,
2022,1980,HOU,HOU,
2002,195,ANA,LAA,(LAA CHANGE IN TEAM ID FOR PLAYERS)
2003,225,ANA,LAA,(LAA CHANGE IN TEAM ID FOR PLAYERS)
2004,241,ANA,LAA,(LAA CHANGE IN TEAM ID FOR PLAYERS)
2005,294,LAA,LAA,
2006,368,LAA,LAA,
2007,431,LAA,LAA,
2008,500,LAA,LAA,
2009,509,LAA,LAA,
2010,521,LAA,LAA,
2011,554,LAA,LAA,
2012,656,LAA,LAA,
2013,718,LAA,LAA,
2014,775,LAA,LAA,
2015,1300,LAA,LAA,
2016,1340,LAA,LAA,
2017,1750,LAA,LAA,
2018,1800,LAA,LAA,
2019,1900,LAA,LAA,
2020,1975,LAA,LAA,
2021,2025,LAA,LAA,
2022,2200,LAA,LAA,
2002,157,OAK,OAK,
2003,172,OAK,OAK,
2004,186,OAK,OAK,
2005,185,OAK,OAK,
2006,234,OAK,OAK,
2007,292,OAK,OAK,
2008,323,OAK,OAK,
2009,319,OAK,OAK,
2010,295,OAK,OAK,
2011,307,OAK,OAK,
2012,321,OAK,OAK,
2013,468,OAK,OAK,
2014,495,OAK,OAK,
2015,725,OAK,OAK,
2016,725,OAK,OAK,
2017,880,OAK,OAK,
2018,1020,OAK,OAK,
2019,1100,OAK,OAK,
2020,1100,OAK,OAK,
2021,1125,OAK,OAK,
2022,1180,OAK,OAK,
2002,347,COL,COL,
2003,304,COL,COL,
2004,285,COL,COL,
2005,290,COL,COL,
2006,298,COL,COL,
2007,317,COL,COL,
2008,371,COL,COL,
2009,373,COL,COL,
2010,384,COL,COL,
2011,414,COL,COL,
2012,464,COL,COL,
2013,537,COL,COL,
2014,575,COL,COL,
2015,855,COL,COL,
2016,860,COL,COL,
2017,1000,COL,COL,
2018,1100,COL,COL,
2019,1200,COL,COL,
2020,1275,COL,COL,
2021,1300,COL,COL,
2022,1385,COL,COL,
2002,280,ARI,ARI,
2003,269,ARI,ARI,
2004,276,ARI,ARI,
2005,286,ARI,ARI,
2006,305,ARI,ARI,
2007,339,ARI,ARI,
2008,379,ARI,ARI,
2009,390,ARI,ARI,
2010,379,ARI,ARI,
2011,396,ARI,ARI,
2012,447,ARI,ARI,
2013,584,ARI,ARI,
2014,585,ARI,ARI,
2015,840,ARI,ARI,
2016,925,ARI,ARI,
2017,1150,ARI,ARI,
2018,1210,ARI,ARI,
2019,1300,ARI,ARI,
2020,1290,ARI,ARI,
2021,1320,ARI,ARI,
2022,1380,ARI,ARI,
2002,355,SFN,SFN,
2003,382,SFN,SFN,
2004,368,SFN,SFN,
2005,381,SFN,SFN,
2006,410,SFN,SFN,
2007,459,SFN,SFN,
2008,494,SFN,SFN,
2009,471,SFN,SFN,
2010,483,SFN,SFN,
2011,563,SFN,SFN,
2012,643,SFN,SFN,
2013,786,SFN,SFN,
2014,1000,SFN,SFN,
2015,2000,SFN,SFN,
2016,2250,SFN,SFN,
2017,2650,SFN,SFN,
2018,2850,SFN,SFN,
2019,3000,SFN,SFN,
2020,3100,SFN,SFN,
2021,3175,SFN,SFN,
2022,3500,SFN,SFN,
2002,435,LAN,LAN,
2003,449,LAN,LAN,
2004,399,LAN,LAN,
2005,424,LAN,LAN,
2006,482,LAN,LAN,
2007,632,LAN,LAN,
2008,694,LAN,LAN,
2009,722,LAN,LAN,
2010,727,LAN,LAN,
2011,800,LAN,LAN,
2012,1400,LAN,LAN,
2013,1615,LAN,LAN,
2014,2000,LAN,LAN,
2015,2400,LAN,LAN,
2016,2500,LAN,LAN,
2017,2750,LAN,LAN,
2018,3000,LAN,LAN,
2019,3300,LAN,LAN,
2020,3400,LAN,LAN,
2021,3570,LAN,LAN,
2022,4075,LAN,LAN,
2002,207,SDN,SDN,
2003,226,SDN,SDN,
2004,265,SDN,SDN,
2005,329,SDN,SDN,
2006,354,SDN,SDN,
2007,367,SDN,SDN,
2008,385,SDN,SDN,
2009,401,SDN,SDN,
2010,408,SDN,SDN,
2011,406,SDN,SDN,
2012,458,SDN,SDN,
2013,600,SDN,SDN,
2014,615,SDN,SDN,
2015,890,SDN,SDN,
2016,890,SDN,SDN,
2017,1125,SDN,SDN,
2018,1270,SDN,SDN,
2019,1400,SDN,SDN,
2020,1450,SDN,SDN,
2021,1500,SDN,SDN,
2022,1575,SDN,SDN,
2002,242,PIT,PIT,
2003,224,PIT,PIT,
2004,217,PIT,PIT,
2005,218,PIT,PIT,
2006,250,PIT,PIT,
2007,274,PIT,PIT,
2008,292,PIT,PIT,
2009,288,PIT,PIT,
2010,289,PIT,PIT,
2011,304,PIT,PIT,
2012,336,PIT,PIT,
2013,479,PIT,PIT,
2014,572,PIT,PIT,
2015,900,PIT,PIT,
2016,975,PIT,PIT,
2017,1250,PIT,PIT,
2018,1260,PIT,PIT,
2019,1300,PIT,PIT,
2020,1260,PIT,PIT,
2021,1285,PIT,PIT,
2022,1320,PIT,PIT,
2002,287,CHN,CHN,
2003,335,CHN,CHN,
2004,358,CHN,CHN,
2005,398,CHN,CHN,
2006,448,CHN,CHN,
2007,592,CHN,CHN,
2008,642,CHN,CHN,
2009,700,CHN,CHN,
2010,726,CHN,CHN,
2011,773,CHN,CHN,
2012,879,CHN,CHN,
2013,1000,CHN,CHN,
2014,1200,CHN,CHN,
2015,1800,CHN,CHN,
2016,2200,CHN,CHN,
2017,2675,CHN,CHN,
2018,2900,CHN,CHN,
2019,3100,CHN,CHN,
2020,3200,CHN,CHN,
2021,3360,CHN,CHN,
2022,3800,CHN,CHN,
2002,204,CIN,CIN,
2003,223,CIN,CIN,
2004,245,CIN,CIN,
2005,255,CIN,CIN,
2006,274,CIN,CIN,
2007,307,CIN,CIN,
2008,337,CIN,CIN,
2009,342,CIN,CIN,
2010,331,CIN,CIN,
2011,375,CIN,CIN,
2012,424,CIN,CIN,
2013,546,CIN,CIN,
2014,600,CIN,CIN,
2015,885,CIN,CIN,
2016,905,CIN,CIN,
2017,915,CIN,CIN,
2018,1010,CIN,CIN,
2019,1100,CIN,CIN,
2020,1075,CIN,CIN,
2021,1085,CIN,CIN,
2022,1190,CIN,CIN,
2002,238,MIL,MIL,
2003,206,MIL,MIL,
2004,174,MIL,MIL,
2005,208,MIL,MIL,
2006,235,MIL,MIL,
2007,287,MIL,MIL,
2008,331,MIL,MIL,
2009,347,MIL,MIL,
2010,351,MIL,MIL,
2011,376,MIL,MIL,
2012,448,MIL,MIL,
2013,562,MIL,MIL,
2014,565,MIL,MIL,
2015,875,MIL,MIL,
2016,875,MIL,MIL,
2017,925,MIL,MIL,
2018,1030,MIL,MIL,
2019,1200,MIL,MIL,
2020,1200,MIL,MIL,
2021,1220,MIL,MIL,
2022,1280,MIL,MIL,
2002,271,SLN,SLN,
2003,308,SLN,SLN,
2004,314,SLN,SLN,
2005,370,SLN,SLN,
2006,429,SLN,SLN,
2007,460,SLN,SLN,
2008,484,SLN,SLN,
2009,486,SLN,SLN,
2010,488,SLN,SLN,
2011,518,SLN,SLN,
2012,591,SLN,SLN,
2013,716,SLN,SLN,
2014,820,SLN,SLN,
2015,1400,SLN,SLN,
2016,1600,SLN,SLN,
2017,1800,SLN,SLN,
2018,1900,SLN,SLN,
2019,2100,SLN,SLN,
2020,2200,SLN,SLN,
2021,2245,SLN,SLN,
2022,2450,SLN,SLN,
2002,231,PHI,PHI,
2003,239,PHI,PHI,
2004,281,PHI,PHI,
2005,392,PHI,PHI,
2006,424,PHI,PHI,
2007,457,PHI,PHI,
2008,481,PHI,PHI,
2009,496,PHI,PHI,
2010,537,PHI,PHI,
2011,609,PHI,PHI,
2012,723,PHI,PHI,
2013,893,PHI,PHI,
2014,975,PHI,PHI,
2015,1250,PHI,PHI,
2016,1235,PHI,PHI,
2017,1650,PHI,PHI,
2018,1700,PHI,PHI,
2019,1900,PHI,PHI,
2020,2000,PHI,PHI,
2021,2050,PHI,PHI,
2022,2300,PHI,PHI,
2002,424,ATL,ATL,
2003,423,ATL,ATL,
2004,374,ATL,ATL,
2005,382,ATL,ATL,
2006,405,ATL,ATL,
2007,458,ATL,ATL,
2008,497,ATL,ATL,
2009,446,ATL,ATL,
2010,450,ATL,ATL,
2011,482,ATL,ATL,
2012,508,ATL,ATL,
2013,629,ATL,ATL,
2014,730,ATL,ATL,
2015,1150,ATL,ATL,
2016,1175,ATL,ATL,
2017,1500,ATL,ATL,
2018,1625,ATL,ATL,
2019,1700,ATL,ATL,
2020,1800,ATL,ATL,
2021,1875,ATL,ATL,
2022,2100,ATL,ATL,
2002,137,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2003,136,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2004,172,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2005,206,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2006,226,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2007,244,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2008,256,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2009,277,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2010,317,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2011,360,FLO,MIA,(MIA CHANGE IN TEAM ID FOR PLAYERS)
2012,450,MIA,MIA,
2013,520,MIA,MIA,
2014,500,MIA,MIA,
2015,650,MIA,MIA,
2016,675,MIA,MIA,
2017,940,MIA,MIA,
2018,1000,MIA,MIA,
2019,1000,MIA,MIA,
2020,980,MIA,MIA,
2021,990,MIA,MIA,
2022,990,MIA,MIA,
2002,482,NYN,NYN,
2003,498,NYN,NYN,
2004,442,NYN,NYN,
2005,505,NYN,NYN,
2006,604,NYN,NYN,
2007,736,NYN,NYN,
2008,824,NYN,NYN,
2009,912,NYN,NYN,
2010,858,NYN,NYN,
2011,747,NYN,NYN,
2012,719,NYN,NYN,
2013,811,NYN,NYN,
2014,800,NYN,NYN,
2015,1350,NYN,NYN,
2016,1650,NYN,NYN,
2017,2000,NYN,NYN,
2018,2100,NYN,NYN,
2019,2300,NYN,NYN,
2020,2400,NYN,NYN,
2021,2450,NYN,NYN,
2022,2650,NYN,NYN,
2002,108,MON,WAS,(WAS CHANGE IN TEAM ID FOR PLAYERS)
2003,113,MON,WAS,(WAS CHANGE IN TEAM ID FOR PLAYERS)
2004,145,MON,WAS,(WAS CHANGE IN TEAM ID FOR PLAYERS)
2005,310,WAS,WAS,
2006,440,WAS,WAS,
2007,447,WAS,WAS,
2008,460,WAS,WAS,
2009,406,WAS,WAS,
2010,387,WAS,WAS,
2011,417,WAS,WAS,
2012,480,WAS,WAS,
2013,631,WAS,WAS,
2014,700,WAS,WAS,
2015,1280,WAS,WAS,
2016,1300,WAS,WAS,
2017,1600,WAS,WAS,
2018,1675,WAS,WAS,
2019,1800,WAS,WAS,
2020,1900,WAS,WAS,
2021,1925,WAS,WAS,
2022,2000,WAS,WAS,
